序号,门店名称,1月1日,1月2日,1月3日,1月4日,1月5日,1月6日,1月7日,1月8日,1月9日,1月10日,1月11日,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日
1,李子坝梁山鸡巴南万达店,10,10,7,8,9,9,10,10,9,9,9,9,9,9,9,9,9,8,8,9,9,9,10,10,11,11,11,10,10,10,11
2,李子坝梁山鸡北碚万达店,8,10,6,6,8,7,8,7,6,6,6,8,6,8,8,6,7,8,8,8,8,12,12,12,11,11,11,9,7,7,8
3,李子坝梁山鸡万象汇店,9,8,7,8,9,8,9,8,8,8,8,10,10,11,10,10,9,9,11,10,8.5,10,10,10,9,9,9,8,8,9,9
4,李子坝梁山鸡大学城店,8,8,6,8,7,6,8,8,7,7,7,7,8,8,8,7,7,7,7.5,8,8,8,8,9,8.5,8,8,8,7,9,7
5,李子坝梁山鸡东原悦荟店,8,8,6,6,8,8,8,7.5,7,7,8,9,9,9,10.5,11,11,11,12,9.5,10,10,9,10,8.5,8,9.5,10,8,8,9
6,李子坝梁山鸡公园店,28,27.5,19,18,18,21.5,25,23.5,24,25,27,26,27,27,26,26,28.5,29.5,32,28,27.5,29,28,30,29.5,31,29,32,28,28,28
7,李子坝梁山鸡观音桥店,12,12,9,10,11,11,11,11,10,10,10,9.5,12,12,12,12,12,12,12,13,10,10,10,12,12,12,12,12,12,12,12
8,李子坝梁山鸡解放碑英利店,11,10,7,8,8,8,8,8.5,7,6,6.5,7,8,10,10,10,9,9.5,11,10.5,11,11,11,12,12,12,10,10,9.5,8,8.5
9,李子坝梁山鸡金沙天街店,10,9,6.5,6.5,6.5,8.5,9,9,8,8,8,7.5,9,10,10,9,10,10,9.5,10,10,10,10,10,10,10,10,10,9,8,9
10,李子坝梁山鸡来福士店,9.5,9,6,7,7,8,7,7,7,5,5,5,5.5,9.5,9,7,7.5,12,11,10,7,11,12,12,12,13,13,11,10.5,10,10
11,李子坝梁山鸡老店,14,14,13,12.5,9.5,11.5,14,13,12,11,11,11.5,14,15,16,14,14,15,15,15,16,15,16,16,17,17,17,16,16,15.5,16
12,李子坝梁山鸡源著天街店,9,9,8,8,8,7.5,8,8,8,7,7,6,10,10,10,9.5,10,10,9,8.5,8,9,9,8.5,7.5,8,7.5,7,8,8,7.5
13,李子坝梁山鸡南坪店,11,11,7.5,8,10,8.5,9,9,8.5,8,8,9,9,9,10,9,10,10,8,8,9,8,8,8,7,8,8.5,8.5,8,8,10
14,李子坝梁山鸡融创茂店,8,8,6,6,5,6,7,6,6,5,5,6,6.5,8,7,7,6.5,8,7,7,7,9,9,9,8,9.5,8,8,7,7,7
15,李子坝梁山鸡西城天街店,10,11,9,8,11,10,11,10.5,8,8,9,10,9,11,11,8,9,9,9,11,10.5,11,10,10,10,11,11,11,9.5,11,8.5
16,李子坝梁山鸡渝北店,13,11,8,10,12,10,10,10,9,8,8,10,9,10,10,9.5,10,10,10,10,10,10,10,10,9,8,8,7,7,7,8
17,李子坝梁山鸡约克郡光环店,11,11,8,9,11,9,11,11,7.5,9,8,11,10.5,11.5,11,10,10,10,9.5,10,10,10,10,10,9,9,9,9,7.5,8,7.5
18,李子坝梁山鸡长嘉汇店,12,12,7,8,8,8.5,11,11,8.5,8,8,9,9.5,10,10,8,9,11,11,12,10,11,12,12,13,14,14,13,13,13,13
19,李子坝梁山鸡回兴店,12,12,9.5,8,9,10.5,11,11,10.5,8,9,10,10,11,11.5,9.5,10.5,10.5,11,13,11,11,11,12,10,10,10.5,9,10,9.5,10
