序号,门店名称,12月1日,12月2日,12月3日,12月4日,12月5日,12月6日,12月7日,12月8日,12月9日,12月10日,12月11日,12月12日,12月13日,12月14日,12月15日,12月16日,12月17日,12月18日,12月19日,12月20日,12月21日,12月22日,12月23日,12月24日,12月25日,12月26日,12月27日,12月28日,12月29日,12月30日,12月31日
1,李子坝梁山鸡巴南万达店,7,7,6.5,7,7,6,6,6,7,10.5,9.5,6,6,4.5,5,6,8,8,6.5,6,7,8,8,9,9,7,8,8,8.5,8,10
2,李子坝梁山鸡北碚万达店,0,0,0,5,5,5,5,5,6,8,6,5,5,5,5,0,0,0,5,5.5,6,7,7,8,8,6,6,7,6,8,8
3,李子坝梁山鸡万象汇店,0,0,0,0,7,5,5,5,6.5,8,8,6,6,6,7,8.5,8,9,6.5,6.5,7,7,7,8,8,7,7,7.5,8,8,8
4,李子坝梁山鸡大学城店,0,0,0,0,6,5,5,5,6,7,7,5.5,6,7,6,6,6,5.5,5,5,4,5.5,5,7,8,5,7,7,6,7,8
5,李子坝梁山鸡东原悦荟店,0,0,0,0,0,0,0,7,7,5.5,5,5,5,5.5,7.5,6,6,0,0,0,0,0,7,8,7,6,6,6,7,7,7.5
6,李子坝梁山鸡公园店,17.5,18.5,15,15.5,15,13.5,13.5,13.5,11,11,10.5,9,9,11,10,9,11.5,12.5,12,13,14,14,14.5,15.5,15.5,14,13,14.5,16,18.5,27
7,李子坝梁山鸡观音桥店,0,0,0,7,6.5,4.5,7,7,7.5,6,6,6,8,5.5,7.5,6,8,7,7,7.5,8,8,8,8,8,8,8,9.5,8,8,12
8,李子坝梁山鸡解放碑英利店,0,0,0,0,7,5,6,7,6,6,5,5,6,7,9,8,8,8,5.5,6,6,6.5,6,7.5,8,6,7,7,7.5,9,10
9,李子坝梁山鸡金沙天街店,0,0,0,8,7,5.5,5,5,6.5,6.5,5,0,0,0,1,0,0,0,0,6,5,5,6,8,8,6,7,7,6,7.5,10
10,李子坝梁山鸡来福士店,0,0,0,2,0,0,0,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.5,6,5,6.5,7,7,8.5
11,李子坝梁山鸡老店,12,12,12,13,10,9.5,9.5,9.5,9,8.5,8,9.5,8.5,8.5,8,7,8.5,10,8.5,8,9,10,9,10,10,9,10,9.5,11,12,12
12,李子坝梁山鸡源著天街店,0,0,0,6,6,6.5,6.5,7,8.5,9,8,8,6.5,7,7,7,7,13.5,10.5,7,8,9,8,8,8,7,8,7,8,8,9
13,李子坝梁山鸡南坪店,10,10,9.5,9,7,7,6,5.5,5,5,6,6.5,8,8,7.5,7,9,9,8.5,8.5,8,9,9,10,9.5,7.5,7,8,7.5,8,11
14,李子坝梁山鸡融创茂店,7,7,7,8,6,5,4,5,6,6,5.5,5,0,0,0,0,0,0,0,0,4.5,4,4.5,5.5,6,5,6,6,6,6,7
15,李子坝梁山鸡西城天街店,0,0,0,0,5.5,4,4,5.5,2,0,0,0,0,0,0,0,0,0,0,6,7,9,7,9,9,7,8,7,9,9.5,10
16,李子坝梁山鸡渝北店,23,23,23,13,11,11,12,10,10,11,11,8,8,8,8,9,9,9,9,8,7,6,9,10,10,8,9,10,10.5,9.5,13
17,李子坝梁山鸡约克郡光环店,0,0,0,9,8,7,7,7,8,10,10,7,6,6,7,8,8,8.5,8,8,9,9.5,10.5,11,11,8,8,8,10,10,10
18,李子坝梁山鸡长嘉汇店,0,0,2.5,6,6,4,4,5,5,6,6,4.5,0,0,0,0,0,0,6,4,4,5,5,7,9,6,6.5,6,7,10,12
19,李子坝梁山鸡回兴店,7,7,7,6,6,6,6,6,6,5.5,6,6,4.5,5,5,5,5,5,6,6,7,8,7.5,9.5,9,11,9,9.5,9,10,11.5
20,李子坝梁山鸡昆明南亚首店,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
