序号,门店名称,11月1日,11月2日,11月3日,11月4日,11月5日,11月6日,11月7日,11月8日,11月9日,11月10日,11月11日,11月12日,11月13日,11月14日,11月15日,11月16日,11月17日,11月18日,11月19日,11月20日,11月21日,11月22日,11月23日,11月24日,11月25日,11月26日,11月27日,11月28日,11月29日,11月30日
1,李子坝梁山鸡巴南万达店,8,7,7,7,9,8,6,6,6,4,4,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
2,李子坝梁山鸡北碚万达店,5,5,6,5.5,6.5,7,5,4.5,5,4,5,5,5,5,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,李子坝梁山鸡万象汇店,6,6,5,6,8,8,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,李子坝梁山鸡大学城店,6,5,5,6,7.5,6,6,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,李子坝梁山鸡东原悦荟店,5.5,5.5,7,6,7.5,8,6,6,4.5,4.5,4.5,7,8,6,7,7,7,7.5,8,11,14,14,4,0,0,0,0,0,0,0
6,李子坝梁山鸡公园店,19,19.5,18,16.5,20,18.5,17,15.5,12,12,8,11,9.5,10,10.5,10.5,10.5,14.5,16,13.5,0,0,0,14,0,14,13,12.5,11.5,17
7,李子坝梁山鸡观音桥店,7,0,0,0,3.5,6,6,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,李子坝梁山鸡解放碑英利店,7,6,6,6.5,8,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,李子坝梁山鸡金沙天街店,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,李子坝梁山鸡来福士店,4.5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,李子坝梁山鸡昆明南亚首店,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,李子坝梁山鸡老店,11,9.5,10.5,12,15,13,2,9.5,8.5,7,7,9,9,9.5,9,9,10,6,0,11,12,12,12,12,12,12,12,11,11,11
13,李子坝梁山鸡源著天街店,6.5,6.5,6,7,7,8,6,7.5,7,7.5,8,8,8,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,李子坝梁山鸡南坪店,7,7,9,10,10,8.5,7,6,4,4.5,7.5,7,7,7,8,8,8.5,8.5,11.5,13,12.5,11,9,9,10.5,12,12,8,10,10
15,李子坝梁山鸡融创茂店,6,6,6,5.5,6,4.5,4,2,3,3,3,4,6,6,7,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7
16,李子坝梁山鸡西城天街店,6,5.5,6.5,7,7.5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,李子坝梁山鸡渝北店,11,10,10,11,12,11,11,10.5,10.5,10,12,18,16,11,12,12,18,18.5,20,22,22,21,21,21,20.5,23.5,24,23,23.5,24
18,李子坝梁山鸡约克郡光环店,7,7,8,7,10,10,7,7,7.5,8,0,0,0.5,9.5,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
19,李子坝梁山鸡长嘉汇店,8,8,8.5,9,11,11,8,9,7,7,7,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,李子坝梁山鸡回兴店,6.5,8,7,6,6.5,6,5,5,5.5,6,5.5,6,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7
